DATASET
OBJTYPE "mesh2d"
BEGVEC
ND 4
NC 2
NAME "Old Depth-Averaged Velocity"
TIMEUNITS SECONDS
TS 0  0.00000000e+00
  0.00000000e+00   0.00000000e+00   0.00000000e+00
  0.00000000e+00   0.00000000e+00   0.00000000e+00
  0.00000000e+00   0.00000000e+00   0.00000000e+00
  0.00000000e+00   0.00000000e+00   0.00000000e+00
TS 0  5.00000000e-02
  2.01480840e-01  -1.44702271e-02   0.00000000e+00
  3.01969874e-01  -4.84675230e-03   0.00000000e+00
  2.91025647e-01   8.31200347e-03   0.00000000e+00
  1.79915311e-01   4.03271606e-02   0.00000000e+00
TS 0  1.00000000e-01
  3.78556280e-01  -4.78162083e-02   0.00000000e+00
  6.11297069e-01  -3.36776398e-02   0.00000000e+00
  5.64857741e-01   1.90693421e-02   0.00000000e+00
  2.79393640e-01   1.48013856e-01   0.00000000e+00
TS 0  1.50000000e-01
  5.11530261e-01  -8.39588818e-02   0.00000000e+00
  8.85623649e-01  -7.53632370e-02   0.00000000e+00
  7.66491623e-01   3.82872451e-02   0.00000000e+00
  3.12073069e-01   2.76700753e-01   0.00000000e+00
TS 0  2.00000000e-01
  5.94668555e-01  -1.17117092e-01   0.00000000e+00
  1.09733460e+00  -1.14756034e-01   0.00000000e+00
  8.86243790e-01   6.38789538e-02   0.00000000e+00
  3.01049602e-01   3.86094401e-01   0.00000000e+00
TS 0  2.50000000e-01
  6.28820090e-01  -1.47452298e-01   0.00000000e+00
  1.23300398e+00  -1.43076566e-01   0.00000000e+00
  9.34845804e-01   9.03618540e-02   0.00000000e+00
  2.66525570e-01   4.57236641e-01   0.00000000e+00
TS 0  3.00000000e-01
  6.19802978e-01  -1.76801006e-01   0.00000000e+00
  1.28421064e+00  -1.57189574e-01   0.00000000e+00
  9.27969668e-01   1.12017451e-01   0.00000000e+00
  2.21485473e-01   4.90131071e-01   0.00000000e+00
TS 0  3.50000000e-01
  5.76605024e-01  -2.06167257e-01   0.00000000e+00
  1.24345089e+00  -1.55547099e-01   0.00000000e+00
  8.79128374e-01   1.24296737e-01   0.00000000e+00
  1.73122179e-01   4.92421421e-01   0.00000000e+00
TS 0  4.00000000e-01
  5.08314482e-01  -2.34336410e-01   0.00000000e+00
  1.11016232e+00  -1.37353144e-01   0.00000000e+00
  7.95851571e-01   1.24645257e-01   0.00000000e+00
  1.25249277e-01   4.72070406e-01   0.00000000e+00
TS 0  4.50000000e-01
  4.20704322e-01  -2.57361469e-01   0.00000000e+00
  8.98583803e-01  -1.04990679e-01   0.00000000e+00
  6.77744974e-01   1.13505631e-01   0.00000000e+00
  7.89729452e-02   4.34260890e-01   0.00000000e+00
TS 0  5.00000000e-01
  3.13259215e-01  -2.69520855e-01   0.00000000e+00
  6.35792409e-01  -6.61643855e-02   0.00000000e+00
  5.20689107e-01   9.51284170e-02   0.00000000e+00
  3.22149146e-02   3.79296300e-01   0.00000000e+00
TS 0  5.50000000e-01
  1.78466819e-01  -2.65771981e-01   0.00000000e+00
  3.51214100e-01  -3.01929911e-02   0.00000000e+00
  3.27643435e-01   7.43819939e-02   0.00000000e+00
 -1.98186086e-02   3.01678774e-01   0.00000000e+00
TS 0  6.00000000e-01
  6.00972532e-03  -2.43989686e-01   0.00000000e+00
  6.93721864e-02  -2.59047891e-03   0.00000000e+00
  1.12886282e-01   5.22696929e-02   0.00000000e+00
 -8.30026288e-02   1.94164745e-01   0.00000000e+00
TS 0  6.50000000e-01
 -2.04947933e-01  -2.08458431e-01   0.00000000e+00
 -1.97311705e-01   1.29533913e-02   0.00000000e+00
 -1.05200362e-01   2.77796301e-02   0.00000000e+00
 -1.64359150e-01   5.97200578e-02   0.00000000e+00
TS 0  7.00000000e-01
 -4.31922864e-01  -1.64155851e-01   0.00000000e+00
 -4.34632547e-01   1.63914876e-02   0.00000000e+00
 -3.19435633e-01   5.79109538e-03   0.00000000e+00
 -2.61797622e-01  -8.81114087e-02   0.00000000e+00
TS 0  7.50000000e-01
 -6.30564056e-01  -1.16811346e-01   0.00000000e+00
 -6.33488539e-01   1.23103680e-02   0.00000000e+00
 -5.24985607e-01  -1.35083709e-02   0.00000000e+00
 -3.54650244e-01  -2.31353072e-01   0.00000000e+00
TS 0  8.00000000e-01
 -7.59654422e-01  -7.20426861e-02   0.00000000e+00
 -7.88835150e-01   7.35787625e-03   0.00000000e+00
 -7.16697238e-01  -2.97618759e-02   0.00000000e+00
 -4.17069621e-01  -3.50813356e-01   0.00000000e+00
TS 0  8.50000000e-01
 -8.03616742e-01  -3.36783068e-02   0.00000000e+00
 -8.98276012e-01   9.22543240e-03   0.00000000e+00
 -8.83783598e-01  -4.25115089e-02   0.00000000e+00
 -4.33236001e-01  -4.34941170e-01   0.00000000e+00
TS 0  9.00000000e-01
 -7.68964725e-01  -3.05332556e-03   0.00000000e+00
 -9.60440999e-01   2.41430188e-02   0.00000000e+00
 -1.00784789e+00  -5.09647442e-02   0.00000000e+00
 -4.00638992e-01  -4.80665906e-01   0.00000000e+00
TS 0  9.50000000e-01
 -6.70460193e-01   1.99294291e-02   0.00000000e+00
 -9.73704320e-01   5.36465313e-02   0.00000000e+00
 -1.06399282e+00  -5.36125078e-02   0.00000000e+00
 -3.24984163e-01  -4.88368306e-01   0.00000000e+00
TS 0  1.00000000e+00
 -5.23850484e-01   3.55700449e-02   0.00000000e+00
 -9.34596686e-01   9.28245504e-02   0.00000000e+00
 -1.02599103e+00  -4.86221563e-02   0.00000000e+00
 -2.16026969e-01  -4.58518811e-01   0.00000000e+00
TS 0  1.05100000e+00
 -3.40778547e-01   4.38632663e-02   0.00000000e+00
