DATASET
OBJTYPE "mesh2d"
BEGVEC
ND 4
NC 2
NAME "Depth-Averaged Velocity"
TIMEUNITS SECONDS
TS 0  0.00000000e+00
  0.00000000e+00   0.00000000e+00   0.00000000e+00
  0.00000000e+00   0.00000000e+00   0.00000000e+00
  0.00000000e+00   0.00000000e+00   0.00000000e+00
  0.00000000e+00   0.00000000e+00   0.00000000e+00
TS 0  5.00000000e-02
  2.05375452e-01  -1.50258097e-02   0.00000000e+00
  3.08251049e-01  -5.19891585e-03   0.00000000e+00
  2.96967887e-01   8.46564784e-03   0.00000000e+00
  1.82688999e-01   4.19660543e-02   0.00000000e+00
TS 0  1.00000000e-01
  3.81680260e-01  -4.85455494e-02   0.00000000e+00
  6.17246607e-01  -3.44410456e-02   0.00000000e+00
  5.69685046e-01   1.93675935e-02   0.00000000e+00
  2.80628735e-01   1.50540028e-01   0.00000000e+00
TS 0  1.50000000e-01
  5.13687995e-01  -8.46572399e-02   0.00000000e+00
  8.90534728e-01  -7.62157365e-02   0.00000000e+00
  7.69673298e-01   3.87522002e-02   0.00000000e+00
  3.12203485e-01   2.79181047e-01   0.00000000e+00
TS 0  2.00000000e-01
  5.95819664e-01  -1.17745839e-01   0.00000000e+00
  1.10082317e+00  -1.15447737e-01   0.00000000e+00
  8.87862220e-01   6.44198639e-02   0.00000000e+00
  3.00533886e-01   3.87915955e-01   0.00000000e+00
TS 0  2.50000000e-01
  6.29036413e-01  -1.48043082e-01   0.00000000e+00
  1.23488356e+00  -1.43503766e-01   0.00000000e+00
  9.35200380e-01   9.08599752e-02   0.00000000e+00
  2.65696267e-01   4.58249574e-01   0.00000000e+00
TS 0  3.00000000e-01
  6.19241510e-01  -1.77387830e-01   0.00000000e+00
  1.28431634e+00  -1.57315945e-01   0.00000000e+00
  9.27367066e-01   1.12367224e-01   0.00000000e+00
  2.20533631e-01   4.90447805e-01   0.00000000e+00
TS 0  3.50000000e-01
  5.75458255e-01  -2.06751100e-01   0.00000000e+00
  1.24167242e+00  -1.55344836e-01   0.00000000e+00
  8.77788287e-01   1.24425067e-01   0.00000000e+00
  1.72151509e-01   4.92213211e-01   0.00000000e+00
TS 0  4.00000000e-01
  5.06741282e-01  -2.34864600e-01   0.00000000e+00
  1.10662226e+00  -1.36828255e-01   0.00000000e+00
  7.93844878e-01   1.24526435e-01   0.00000000e+00
  1.24309874e-01   4.71473916e-01   0.00000000e+00
TS 0  4.50000000e-01
  4.18764002e-01  -2.57731376e-01   0.00000000e+00
  8.93728171e-01  -1.04245854e-01   0.00000000e+00
  6.74993042e-01   1.13192543e-01   0.00000000e+00
  7.80533642e-02   4.33341812e-01   0.00000000e+00
TS 0  5.00000000e-01
  3.10865871e-01  -2.69613603e-01   0.00000000e+00
  6.30223082e-01  -6.53854012e-02   0.00000000e+00
  5.17154978e-01   9.47181144e-02   0.00000000e+00
  3.12490821e-02   3.77985212e-01   0.00000000e+00
TS 0  5.50000000e-01
  1.75419481e-01  -2.65517979e-01   0.00000000e+00
  3.45476402e-01  -2.95703305e-02   0.00000000e+00
  3.23475840e-01   7.39901202e-02   0.00000000e+00
 -2.09712941e-02   2.99865728e-01   0.00000000e+00
TS 0  6.00000000e-01
  2.12105133e-03  -2.43377312e-01   0.00000000e+00
  6.38688489e-02  -2.08008662e-03   0.00000000e+00
  1.08595621e-01   5.16993213e-02   0.00000000e+00
 -8.43792054e-02   1.91644066e-01   0.00000000e+00
TS 0  6.50000000e-01
 -2.09451945e-01  -2.07641527e-01   0.00000000e+00
 -2.02384953e-01   1.31275996e-02   0.00000000e+00
 -1.09546112e-01   2.73162716e-02   0.00000000e+00
 -1.66196886e-01   5.68475327e-02   0.00000000e+00
TS 0  7.00000000e-01
 -4.36337823e-01  -1.63218687e-01   0.00000000e+00
 -4.39010121e-01   1.63641650e-02   0.00000000e+00
 -3.23643699e-01   5.37773785e-03   0.00000000e+00
 -2.63788715e-01  -9.10903231e-02   0.00000000e+00
TS 0  7.50000000e-01
 -6.33928001e-01  -1.15873949e-01   0.00000000e+00
 -6.37032672e-01   1.21949342e-02   0.00000000e+00
 -5.28979742e-01  -1.38646008e-02   0.00000000e+00
 -3.56273478e-01  -2.34030443e-01   0.00000000e+00
TS 0  8.00000000e-01
 -7.61372863e-01  -7.12043059e-02   0.00000000e+00
 -7.91479312e-01   7.30302237e-03   0.00000000e+00
 -7.20328731e-01  -3.00530708e-02   0.00000000e+00
 -4.17873997e-01  -3.52863683e-01   0.00000000e+00
TS 0  8.50000000e-01
 -8.03650795e-01  -3.29889511e-02   0.00000000e+00
 -8.99986612e-01   9.38119491e-03   0.00000000e+00
 -8.86760492e-01  -4.27264625e-02   0.00000000e+00
 -4.33052675e-01  -4.36232903e-01   0.00000000e+00
TS 0  9.00000000e-01
 -7.67567433e-01  -2.52003160e-03   0.00000000e+00
 -9.61192969e-01   2.45953105e-02   0.00000000e+00
 -1.00972697e+00  -5.10806658e-02   0.00000000e+00
 -3.99520373e-01  -4.81190232e-01   0.00000000e+00
TS 0  9.50000000e-01
 -6.67947654e-01   2.03136314e-02   0.00000000e+00
 -9.73451559e-01   5.43631115e-02   0.00000000e+00
 -1.06423555e+00  -5.35933781e-02   0.00000000e+00
 -3.23094050e-01  -4.88138474e-01   0.00000000e+00
TS 0  1.00000000e+00
 -5.20533786e-01   3.58082906e-02   0.00000000e+00
 -9.33241616e-01   9.36381937e-02   0.00000000e+00
 -1.02412794e+00  -4.84338690e-02   0.00000000e+00
 -2.13589893e-01  -4.57540608e-01   0.00000000e+00
TS 0  1.05100000e+00
 -3.36960352e-01   4.39447528e-02   0.00000000e+00
 -8.31581073e-01   1.31512820e-01   0.00000000e+00
 -8.69769164e-01  -3.40577242e-02   0.00000000e+00
 -8.10344942e-02  -3.88094469e-01   0.00000000e+00
TS 0  1.10100000e+00
 -1.40338420e-01   4.36975462e-02   0.00000000e+00
 -6.65116670e-01   1.50372366e-01   0.00000000e+00
 -6.18346086e-01  -1.18651339e-02   0.00000000e+00
  5.30044050e-02  -2.84397576e-01   0.00000000e+00
TS 0  1.15100000e+00
  5.68918810e-02   3.41203996e-02   0.00000000e+00
 -4.31849382e-01   1.36685537e-01   0.00000000e+00
 -3.11557412e-01   1.44467283e-02   0.00000000e+00
  1.72243303e-01  -1.51426461e-01   0.00000000e+00
TS 0  1.20100000e+00
  2.40030790e-01   1.40259411e-02   0.00000000e+00
 -1.47478128e-01   8.66005979e-02   0.00000000e+00
 -8.84389810e-03   3.84333923e-02   0.00000000e+00
  2.59708666e-01  -2.93042245e-03   0.00000000e+00
TS 0  1.25100000e+00
  3.96663050e-01  -1.70053650e-02   0.00000000e+00
  1.54630754e-01   1.36008210e-02   0.00000000e+00
  2.45795813e-01   5.21543755e-02   0.00000000e+00
  3.07106449e-01   1.38573114e-01   0.00000000e+00
TS 0  1.30100000e+00
  5.17063810e-01  -5.81481912e-02   0.00000000e+00
  4.35731359e-01  -6.63280336e-02   0.00000000e+00
  4.32798682e-01   5.62683045e-02   0.00000000e+00
  3.15418636e-01   2.53341817e-01   0.00000000e+00
TS 0  1.35100000e+00
  5.94465770e-01  -1.05292081e-01   0.00000000e+00
  6.69892428e-01  -1.35063031e-01   0.00000000e+00
  5.54882504e-01   5.38508899e-02   0.00000000e+00
  2.92794734e-01   3.32678759e-01   0.00000000e+00
TS 0  1.40100000e+00
  6.26495344e-01  -1.50767888e-01   0.00000000e+00
  8.44915231e-01  -1.81712029e-01   0.00000000e+00
  6.21182082e-01   5.19365209e-02   0.00000000e+00
  2.49459898e-01   3.80719433e-01   0.00000000e+00
TS 0  1.45100000e+00
  6.16913293e-01  -1.86473691e-01   0.00000000e+00
  9.58607947e-01  -2.03880419e-01   0.00000000e+00
  6.42929273e-01   5.51247617e-02   0.00000000e+00
  1.95701771e-01   4.05258310e-01   0.00000000e+00
TS 0  1.50100000e+00
  5.76054011e-01  -2.07748557e-01   0.00000000e+00
  1.00788715e+00  -2.00537925e-01   0.00000000e+00
  6.29996777e-01   6.51659023e-02   0.00000000e+00
  1.40475650e-01   4.13238800e-01   0.00000000e+00
TS 0  1.55100000e+00
  5.15891882e-01  -2.14439548e-01   0.00000000e+00
  9.88458816e-01  -1.72342616e-01   0.00000000e+00
  5.89356681e-01   8.05342995e-02   0.00000000e+00
  9.07086688e-02   4.08793586e-01   0.00000000e+00
TS 0  1.60100000e+00
  4.44823430e-01  -2.09220907e-01   0.00000000e+00
  9.00809390e-01  -1.23552839e-01   0.00000000e+00
  5.23921602e-01   9.74313313e-02   0.00000000e+00
  4.99864224e-02   3.93244527e-01   0.00000000e+00
TS 0  1.65100000e+00
  3.65348210e-01  -1.95278635e-01   0.00000000e+00
  7.55270982e-01  -6.30117232e-02   0.00000000e+00
  4.32725936e-01   1.11149315e-01   0.00000000e+00
  1.81558170e-02   3.64821971e-01   0.00000000e+00
TS 0  1.70100000e+00
  2.74555773e-01  -1.75624718e-01   0.00000000e+00
  5.69998006e-01  -3.26654540e-03   0.00000000e+00
  3.13860057e-01   1.18005777e-01   0.00000000e+00
 -8.68129777e-03   3.19353567e-01   0.00000000e+00
TS 0  1.75100000e+00
  1.66453920e-01  -1.53667540e-01   0.00000000e+00
  3.63702736e-01   4.34283203e-02   0.00000000e+00
  1.70531533e-01   1.14697263e-01   0.00000000e+00
 -3.67337821e-02   2.51172626e-01   0.00000000e+00
TS 0  1.80100000e+00
  3.59934158e-02  -1.33731201e-01   0.00000000e+00
  1.51913801e-01   7.01726620e-02   0.00000000e+00
  1.22965874e-02   9.81130166e-02   0.00000000e+00
 -7.28769815e-02   1.57378855e-01   0.00000000e+00
TS 0  1.85100000e+00
 -1.14763593e-01  -1.21552703e-01   0.00000000e+00
 -5.65774989e-02   7.22044664e-02   0.00000000e+00
 -1.51846513e-01   6.93119417e-02   0.00000000e+00
 -1.23732987e-01   4.34020430e-02   0.00000000e+00
TS 0  1.90100000e+00
 -2.72280386e-01  -1.18127011e-01   0.00000000e+00
 -2.50440699e-01   5.53605414e-02   0.00000000e+00
 -3.12531389e-01   3.02973978e-02   0.00000000e+00
 -1.87391484e-01  -8.06468859e-02   0.00000000e+00
TS 0  1.95100000e+00
 -4.09503191e-01  -1.19399136e-01   0.00000000e+00
 -4.19766128e-01   2.95502270e-02   0.00000000e+00
 -4.65496349e-01  -1.31669359e-02   0.00000000e+00
 -2.52523506e-01  -2.01006028e-01   0.00000000e+00
TS 0  2.00100000e+00
 -5.00952014e-01  -1.18567558e-01   0.00000000e+00
 -5.57199461e-01   5.65584472e-03   0.00000000e+00
 -6.06207342e-01  -5.41528006e-02   0.00000000e+00
 -3.03843058e-01  -3.03345076e-01   0.00000000e+00
TS 0  2.05100000e+00
 -5.35549009e-01  -1.10206521e-01   0.00000000e+00
 -6.57265615e-01  -6.18087774e-03   0.00000000e+00
 -7.26307160e-01  -8.60205598e-02   0.00000000e+00
 -3.28406632e-01  -3.75841320e-01   0.00000000e+00
TS 0  2.10100000e+00
 -5.16443115e-01  -9.22071403e-02   0.00000000e+00
 -7.15696015e-01   4.45875453e-04   0.00000000e+00
 -8.12929485e-01  -1.02819641e-01   0.00000000e+00
 -3.19245737e-01  -4.11226149e-01   0.00000000e+00
TS 0  2.15100000e+00
 -4.53087434e-01  -6.54489965e-02   0.00000000e+00
 -7.29007485e-01   2.59304620e-02   0.00000000e+00
 -8.50132033e-01  -9.99181787e-02   0.00000000e+00
 -2.75484229e-01  -4.07270849e-01   0.00000000e+00
TS 0  2.20100000e+00
 -3.55677570e-01  -3.31665177e-02   0.00000000e+00
 -6.94408934e-01   6.41843457e-02   0.00000000e+00
 -8.22329335e-01  -7.58715129e-02   0.00000000e+00
 -2.01369299e-01  -3.66366149e-01   0.00000000e+00
TS 0  2.25100000e+00
 -2.33659669e-01  -5.66184981e-04   0.00000000e+00
 -6.10065214e-01   1.03893945e-01   0.00000000e+00
 -7.20768992e-01  -3.47260474e-02   0.00000000e+00
 -1.05579153e-01  -2.94936764e-01   0.00000000e+00
TS 0  2.30100000e+00
 -9.61692829e-02   2.56142256e-02   0.00000000e+00
 -4.76039097e-01   1.31192693e-01   0.00000000e+00
 -5.51591385e-01   1.32068174e-02   0.00000000e+00
 -7.35045525e-04  -2.02414073e-01   0.00000000e+00
TS 0  2.35100000e+00
  4.72790129e-02   3.80954458e-02   0.00000000e+00
 -2.96829557e-01   1.33730242e-01   0.00000000e+00
 -3.39148949e-01   5.42757770e-02   0.00000000e+00
  9.79278955e-02  -9.97006007e-02   0.00000000e+00
TS 0  2.40100000e+00
  1.86601822e-01   3.09388640e-02   0.00000000e+00
 -8.47467726e-02   1.05532151e-01   0.00000000e+00
