DATASET
OBJTYPE "mesh3d"
BEGVEC
ND 8
NC 6
NAME "Velocity"
TIMEUNITS SECONDS
TS 0  0.00000000e+00
 0.00000000e+00  0.00000000e+00  0.00000000e+00
 0.00000000e+00  0.00000000e+00  0.00000000e+00
 0.00000000e+00  0.00000000e+00  0.00000000e+00
 0.00000000e+00  0.00000000e+00  0.00000000e+00
 0.00000000e+00  0.00000000e+00  0.00000000e+00
 0.00000000e+00  0.00000000e+00  0.00000000e+00
 0.00000000e+00  0.00000000e+00  0.00000000e+00
 0.00000000e+00  0.00000000e+00  0.00000000e+00
TS 0  5.00000000e-02
 3.08251049e-01 -5.19891585e-03 -1.77522546e-01
 3.08251049e-01 -5.19891585e-03  0.00000000e+00
 2.54127247e-02  2.20407502e-01  3.42769636e-01
 3.82814599e-01  9.00624923e-02 -1.31886335e-10
 2.35979469e-01 -5.21323414e-02  5.43543302e-01
-9.17106028e-02 -1.36495282e-01  5.20665439e-10
 2.96967887e-01  8.46564784e-03  5.73728302e-01
 2.96967887e-01  8.46564784e-03  0.00000000e+00
TS 0  1.00000000e-01
 6.17246607e-01 -3.44410456e-02  2.98704767e-01
 6.17246607e-01 -3.44410456e-02  0.00000000e+00
 9.30200784e-02  4.74185077e-01  4.39487765e-01
 6.51080496e-01  1.66525671e-01 -1.96576157e-10
 4.64529733e-01 -1.17614394e-01  8.80027341e-01
-1.86124849e-01 -2.44598594e-01 -2.74666394e-10
 5.69685046e-01  1.93675935e-02  5.53208782e-01
 5.69685046e-01  1.93675935e-02  0.00000000e+00
TS 0  1.50000000e-01
 8.90534728e-01 -7.62157365e-02  4.55432823e-01
 8.90534728e-01 -7.62157365e-02  0.00000000e+00
 1.38420107e-01  7.15582705e-01  9.41264372e-01
 9.00230122e-01  2.49994950e-01 -3.48285177e-09
 7.33575393e-01 -2.11637186e-01  1.20117763e+00
-2.67952246e-01 -3.49823803e-01  2.62070240e-09
 7.69673298e-01  3.87522002e-02  2.56015506e-01
 7.69673298e-01  3.87522002e-02  0.00000000e+00
TS 0  2.00000000e-01
 1.10082317e+00 -1.15447737e-01  2.80782284e-01
 1.10082317e+00 -1.15447737e-01  0.00000000e+00
 1.38239776e-01  8.92162443e-01  1.89785733e+00
 1.16397573e+00  3.53971004e-01 -2.38144850e-10
 1.00829312e+00 -3.24049735e-01  1.57380461e+00
-3.27607077e-01 -4.56112278e-01  8.08996932e-11
 8.87862220e-01  6.44198639e-02 -1.35618045e-01
 8.87862220e-01  6.44198639e-02  0.00000000e+00
TS 0  2.50000000e-01
 1.23488356e+00 -1.43503766e-01 -2.22170637e-02
 1.23488356e+00 -1.43503766e-01  0.00000000e+00
 1.16883817e-01  9.83307887e-01  2.87287993e+00
 1.39664637e+00  4.67899766e-01  1.29565412e-09
 1.22336874e+00 -4.34119870e-01  2.04644519e+00
-3.69789469e-01 -5.37074448e-01  9.48766405e-11
 9.35200380e-01  9.08599752e-02 -4.82060018e-01
 9.35200380e-01  9.08599752e-02  0.00000000e+00
TS 0  3.00000000e-01
 1.28431634e+00 -1.57315945e-01 -2.42304233e-01
 1.28431634e+00 -1.57315945e-01  0.00000000e+00
 1.01967169e-01  9.92679415e-01  3.37441749e+00
 1.53504137e+00  5.62935459e-01 -1.28186632e-09
 1.33156154e+00 -5.21232002e-01  2.56847702e+00
-4.03800505e-01 -5.53044571e-01  1.89008807e-09
 9.27367066e-01  1.12367224e-01 -7.19980361e-01
 9.27367066e-01  1.12367224e-01  0.00000000e+00
TS 0  3.50000000e-01
 1.24167242e+00 -1.55344836e-01 -2.82332059e-01
 1.24167242e+00 -1.55344836e-01  0.00000000e+00
 1.03072818e-01  9.34952672e-01  3.19185371e+00
 1.54624910e+00  6.06785593e-01 -1.65766880e-09
 1.31562264e+00 -5.70053329e-01  2.98422592e+00
-4.33907761e-01 -4.76498904e-01  2.57859309e-09
 8.77788287e-01  1.24425067e-01 -8.17490554e-01
 8.77788287e-01  1.24425067e-01  0.00000000e+00
TS 0  4.00000000e-01
 1.10662226e+00 -1.36828255e-01 -1.70444049e-01
 1.10662226e+00 -1.36828255e-01  0.00000000e+00
 1.16218302e-01  8.23636101e-01  2.42050318e+00
 1.43403460e+00  5.82392403e-01  7.25183129e-09
 1.18104219e+00 -5.69765433e-01  3.10975105e+00
-4.58047443e-01 -3.10503909e-01 -4.81214533e-10
 7.93844878e-01  1.24526435e-01 -7.36559491e-01
 7.93844878e-01  1.24526435e-01  0.00000000e+00
TS 0  4.50000000e-01
 8.93728171e-01 -1.04245854e-01 -2.96353041e-03
 8.93728171e-01 -1.04245854e-01  0.00000000e+00
 1.33151988e-01  6.67170773e-01  1.34346147e+00
 1.22169495e+00  4.95543218e-01  1.49524764e-08
 9.47331568e-01 -5.13145434e-01  2.81786368e+00
-4.68534265e-01 -9.21350476e-02 -5.94969865e-09
 6.74993042e-01  1.13192543e-01 -4.52185922e-01
 6.74993042e-01  1.13192543e-01  0.00000000e+00
TS 0  5.00000000e-01
 6.30223082e-01 -6.53854012e-02  1.35661820e-01
 6.30223082e-01 -6.53854012e-02  0.00000000e+00
 1.45884863e-01  4.71341187e-01  3.04947327e-01
 9.38782590e-01  3.70168004e-01  3.73576469e-08
 6.41060031e-01 -3.99853975e-01  2.08584424e+00
-4.54119875e-01  1.23563709e-01 -1.24299097e-08
 5.17154978e-01  9.47181144e-02 -2.02764682e-02
 5.17154978e-01  9.47181144e-02  0.00000000e+00
TS 0  5.50000000e-01
 3.45476402e-01 -2.95703305e-02  2.05947149e-01
 3.45476402e-01 -2.95703305e-02  0.00000000e+00
