Node 	 Time 	 Analytic Concentration 	 Model Computed Concentration 	 Node Error 	 GRID RMS ERROR
 1543	        100.0000000000 	          0.0100346009 	         0.0000000000 	          0.0100346009 	         0.0004126052
 1543	        200.0000000000 	          0.0100104360 	         0.0000000000 	          0.0100104360 	         0.0003439570
 1543	        300.0000000000 	          0.0100040542 	         0.0000000000 	          0.0100040542 	         0.0003039020
 1543	        400.0000000000 	          0.0100017633 	         0.0000000000 	          0.0100017633 	         0.0002625805
 1543	        500.0000000000 	          0.0100008188 	         0.0000000000 	          0.0100008188 	         0.0002152290
 1543	        600.0000000000 	          0.0100003970 	         0.0000000000 	          0.0100003970 	         0.0001745033
 1543	        700.0000000000 	          0.0100001985 	         0.0000000000 	          0.0100001985 	         0.0001478206
 1543	        800.0000000000 	          0.0100001016 	         0.0000000000 	          0.0100001016 	         0.0001325792
 1543	        900.0000000000 	          0.0100000529 	         0.0000000000 	          0.0100000529 	         0.0001236699
 1543	       1000.0000000000 	          0.0100000280 	         0.0000000000 	          0.0100000280 	         0.0001177662
 1543	       1100.0000000000 	          0.0100000150 	         0.0000000000 	          0.0100000150 	         0.0001133386
 1543	       1200.0000000000 	          0.0100000081 	         0.0000000000 	          0.0100000081 	         0.0001097426
 1543	       1300.0000000000 	          0.0100000044 	         0.0000000000 	          0.0100000044 	         0.0001066828
 1543	       1400.0000000000 	          0.0100000024 	         0.0000000000 	          0.0100000024 	         0.0001040026
 1543	       1500.0000000000 	          0.0100000013 	         0.0000000000 	          0.0100000013 	         0.0001015840
 1543	       1600.0000000000 	          0.0100000007 	         0.0000000000 	          0.0100000007 	         0.0000994335
 1543	       1700.0000000000 	          0.0100000004 	         0.0000000000 	          0.0100000004 	         0.0000974629
 1543	       1800.0000000000 	          0.0100000002 	         0.0000000000 	          0.0100000002 	         0.0000956482
 1543	       1900.0000000000 	          0.0100000001 	         0.0000000000 	          0.0100000001 	         0.0000939694
