Node 	 Time 	 Analytic Concentration 	 Model Computed Concentration 	 Node Error 	 GRID RMS ERROR
 1543	        100.0000000000 	          0.0000000000 	         0.0000000000 	         -0.0000000000 	         0.0004796142
 1543	        200.0000000000 	          0.0000000000 	         0.0000000000 	         -0.0000000000 	         0.0003685419
 1543	        300.0000000000 	          0.0000000000 	         0.0000000000 	         -0.0000000000 	         0.0003372549
 1543	        400.0000000000 	          0.0000000000 	         0.0000000000 	         -0.0000000000 	         0.0002991346
 1543	        500.0000000000 	          0.0000000000 	         0.0000000000 	         -0.0000000000 	         0.0002529620
 1543	        600.0000000000 	          0.0000000000 	         0.0000000000 	         -0.0000000000 	         0.0002087461
 1543	        700.0000000000 	          0.0000000000 	         0.0000000000 	         -0.0000000000 	         0.0001769257
 1543	        800.0000000000 	          0.0000000000 	         0.0000000000 	         -0.0000000000 	         0.0001589467
 1543	        900.0000000000 	          0.0000000000 	         0.0000000000 	         -0.0000000000 	         0.0001500798
 1543	       1000.0000000000 	          0.0000000000 	         0.0000000000 	         -0.0000000000 	         0.0001454083
 1543	       1100.0000000000 	          0.0000000000 	         0.0000000000 	         -0.0000000000 	         0.0001422345
 1543	       1200.0000000000 	          0.0000000000 	         0.0000000000 	         -0.0000000000 	         0.0001395383
 1543	       1300.0000000000 	          0.0000000000 	         0.0000000000 	         -0.0000000000 	         0.0001370421
 1543	       1400.0000000000 	          0.0000000000 	         0.0000000000 	         -0.0000000000 	         0.0001347006
 1543	       1500.0000000000 	          0.0000000000 	         0.0000000000 	         -0.0000000000 	         0.0001325418
 1543	       1600.0000000000 	          0.0000000000 	         0.0000000000 	         -0.0000000000 	         0.0001304903
 1543	       1700.0000000000 	          0.0000000000 	         0.0000000000 	         -0.0000000000 	         0.0001285925
 1543	       1800.0000000000 	          0.0000000000 	         0.0000000000 	         -0.0000000000 	         0.0001268282
 1543	       1900.0000000000 	          0.0000000000 	         0.0000000000 	         -0.0000000000 	         0.0001251813
 1543	       2000.0000000000 	          0.0000000000 	         0.0000000000 	         -0.0000000000 	         0.0001236381
 1543	       2100.0000000000 	          0.0000000000 	         0.0000000000 	         -0.0000000000 	         0.0001221872
 1543	       2200.0000000000 	          0.0000000000 	         0.0000000000 	         -0.0000000000 	         0.0001208189
 1543	       2300.0000000000 	          0.0000000000 	         0.0000000000 	         -0.0000000000 	         0.0001195251
 1543	       2400.0000000000 	          0.0000000000 	         0.0000000000 	         -0.0000000000 	         0.0001182986
 1543	       2500.0000000000 	          0.0000000000 	         0.0000000000 	         -0.0000000000 	         0.0001171333
 1543	       2600.0000000000 	          0.0000000000 	         0.0000000000 	         -0.0000000000 	         0.0001160239
 1543	       2700.0000000000 	          0.0000000000 	         0.0000000000 	         -0.0000000000 	         0.0001149656
 1543	       2800.0000000000 	          0.0000000000 	         0.0000000000 	         -0.0000000000 	         0.0001139544
 1543	       2900.0000000000 	          0.0000000000 	         0.0000000000 	         -0.0000000000 	         0.0001129865
 1543	       3000.0000000000 	          0.0000000000 	         0.0000000000 	         -0.0000000000 	         0.0001120586
