Node 	 Time 	 Analytic Concentration 	 Model Computed Concentration 	 Node Error 	 GRID RMS ERROR
 1543	        100.0000000000 	          0.0000000000 	         0.0000000000 	         -0.0000000000 	         0.0004750102
 1543	        200.0000000000 	          0.0000000000 	         0.0000000000 	         -0.0000000000 	         0.0003669795
 1543	        300.0000000000 	          0.0000000000 	         0.0000000000 	         -0.0000000000 	         0.0003347670
 1543	        400.0000000000 	          0.0000000000 	         0.0000000000 	         -0.0000000000 	         0.0002964463
 1543	        500.0000000000 	          0.0000000000 	         0.0000000000 	         -0.0000000000 	         0.0002503243
 1543	        600.0000000000 	          0.0000000000 	         0.0000000000 	         -0.0000000000 	         0.0002062482
 1543	        700.0000000000 	          0.0000000000 	         0.0000000000 	         -0.0000000000 	         0.0001746375
 1543	        800.0000000000 	          0.0000000000 	         0.0000000000 	         -0.0000000000 	         0.0001567922
 1543	        900.0000000000 	          0.0000000000 	         0.0000000000 	         -0.0000000000 	         0.0001479356
 1543	       1000.0000000000 	          0.0000000000 	         0.0000000000 	         -0.0000000000 	         0.0001432146
 1543	       1100.0000000000 	          0.0000000000 	         0.0000000000 	         -0.0000000000 	         0.0001399923
 1543	       1200.0000000000 	          0.0000000000 	         0.0000000000 	         -0.0000000000 	         0.0001372690
